"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\alexa\OneDrive\Skrivbord\uppgift_L2\src\tests\unitConverter.test.js", "JavaScript", -33, 0, -11, -44
"c:\Users\alexa\OneDrive\Skrivbord\uppgift_L2\src\tests\validator.test.js", "JavaScript", -17, -1, -3, -21
"c:\Users\alexa\OneDrive\Skrivbord\uppgift_L2\src\tests\weightClass.test.js", "JavaScript", -128, 0, -25, -153
"c:\Users\alexa\OneDrive\Skrivbord\uppgift_L2\src\tests\weightCollection.test.js", "JavaScript", -135, -1, -16, -152
"c:\Users\alexa\OneDrive\Skrivbord\uppgift_L2\src\unitConverter.js", "JavaScript", -13, -9, -5, -27
"c:\Users\alexa\OneDrive\Skrivbord\uppgift_L2\src\validator.js", "JavaScript", -4, -6, -2, -12
"c:\Users\alexa\OneDrive\Skrivbord\uppgift_L2\src\weightUnits.js", "JavaScript", -9, -1, -2, -12
"Total", "-", -339, -18, -64, -421
